924,376,956,344,27,117,114
924,381,956,349,140,205,178
924,386,956,354,222,13,56
924,392,956,360,117,244,201
923,397,955,365,115,85,15
923,402,955,370,188,129,50
922,407,954,375,108,43,191
922,413,954,381,93,240,4
921,418,953,386,211,159,137
920,423,952,391,165,185,24
919,428,951,396,223,3,75
918,433,950,401,45,236,17
917,438,949,406,148,162,166
916,443,948,411,220,14,208
915,449,947,417,134,177,54
914,454,946,422,138,179,243
912,459,944,427,113,21,14
911,464,943,432,160,203,176
909,469,941,437,88,241,132
908,474,940,442,243,18,52
906,479,938,447,197,233,199
904,484,936,452,75,38,216
902,488,934,456,200,69,58
900,493,932,461,81,211,209
898,498,930,466,145,145,72
896,503,928,471,178,203,112
894,508,926,476,113,118,71
891,512,923,480,172,230,231
889,517,921,485,190,66,175
886,521,918,489,33,31,48
884,526,916,494,37,149,18
881,531,913,499,209,184,236
878,535,910,503,125,166,226
876,539,908,507,137,71,248
873,544,905,512,9,83,248
870,548,902,516,93,78,30
867,552,899,520,233,34,84
864,557,896,525,228,127,156
860,561,892,529,148,178,7
857,565,889,533,134,8,210
854,569,886,537,86,215,62
850,573,882,541,148,239,12
847,577,879,545,13,5,173
843,581,875,549,152,29,203
840,584,872,552,157,17,17
836,588,868,556,34,201,23
832,592,864,560,60,62,26
829,595,861,563,218,178,187
825,599,857,567,165,131,83
821,602,853,570,168,29,37
817,606,849,574,5,245,247
813,609,845,577,31,119,167
809,612,841,580,73,192,142
805,616,837,584,109,68,192
800,619,832,587,229,185,103
796,622,828,590,239,65,135
792,625,824,593,243,68,63
787,628,819,596,236,17,76
783,630,815,598,150,51,162
779,633,811,601,203,127,165
774,636,806,604,202,59,153
769,638,801,606,28,131,213
765,641,797,609,234,127,70
760,643,792,611,166,233,130
756,646,788,614,248,50,28
751,648,783,616,75,101,107
746,650,778,618,79,176,23
741,652,773,620,102,75,78
736,654,768,622,26,151,72
732,656,764,624,39,0,72
727,658,759,626,140,222,10
722,660,754,628,230,33,212
717,661,749,629,204,234,35
712,663,744,631,128,103,44
707,664,739,632,146,154,54
702,666,734,634,132,252,124
697,667,729,635,177,104,8
691,668,723,636,74,204,88
686,669,718,637,21,130,93
681,670,713,638,188,133,205
676,671,708,639,208,48,31
671,672,703,640,209,162,4
666,673,698,641,228,131,138
661,674,693,642,154,193,218
655,674,687,642,97,21,187
650,675,682,643,84,214,94
645,675,677,643,211,45,33
640,676,672,644,224,11,175
634,676,666,644,187,111,96
629,676,661,644,249,101,112
624,676,656,644,39,83,80
619,676,651,644,228,62,79
614,676,646,644,104,180,36
608,676,640,644,222,21,117
603,675,635,643,7,192,178
598,675,630,643,54,173,142
593,674,625,642,216,142,229
587,674,619,642,106,91,124
582,673,614,641,65,236,119
577,672,609,640,64,109,179
572,671,604,639,102,46,218
567,670,599,638,148,95,56
562,669,594,637,55,133,110
557,668,589,636,189,17,216
551,667,583,635,173,34,218
546,666,578,634,50,154,138
541,664,573,632,41,1,196
536,663,568,631,195,107,14
531,661,563,629,149,44,185
526,660,558,628,136,64,233
521,658,553,626,193,226,17
516,656,548,624,46,187,177
512,654,544,622,198,127,108
507,652,539,620,155,218,171
502,650,534,618,133,76,179
497,648,529,616,97,144,226
492,646,524,614,214,229,239
488,643,520,611,207,0,0
483,641,515,609,22,66,5
479,638,511,606,108,86,138
474,636,506,604,236,76,86
469,633,501,601,219,86,35
465,630,497,598,129,218,97
461,628,493,596,177,160,114
456,625,488,593,120,242,21
452,622,484,590,71,113,149
448,619,480,587,223,119,111
443,616,475,584,190,119,219
439,612,471,580,118,127,124
435,609,467,577,58,21,17
431,606,463,574,226,59,219
427,602,459,570,181,222,239
423,599,455,567,35,100,250
419,595,451,563,164,228,122
416,592,448,560,3,158,58
412,588,444,556,134,184,154
408,584,440,552,150,110,62
405,581,437,549,109,2,155
401,577,433,545,244,24,9
398,573,430,541,225,62,2
394,569,426,537,207,35,224
391,565,423,533,24,89,151
388,561,420,529,149,170,165
384,557,416,525,110,35,191
381,552,413,520,61,165,218
378,548,410,516,21,247,8
375,544,407,512,213,213,12
372,539,404,507,139,240,81
370,535,402,503,205,153,201
367,531,399,499,203,12,72
364,526,396,494,166,124,248
362,521,394,489,190,144,76
359,517,391,485,65,226,113
357,512,389,480,208,25,219
354,508,386,476,7,229,229
352,503,384,471,133,30,45
350,498,382,466,180,211,8
348,493,380,461,193,244,87
346,488,378,456,162,87,55
344,484,376,452,200,184,71
342,479,374,447,148,107,23
340,474,372,442,6,125,70
339,469,371,437,86,73,43
337,464,369,432,101,177,51
336,459,368,427,169,112,110
334,454,366,422,44,49,157
333,449,365,417,68,142,240
332,443,364,411,182,173,244
331,438,363,406,197,154,241
330,433,362,401,15,68,251
329,428,361,396,196,121,173
328,423,360,391,106,96,54
327,418,359,386,97,7,120
326,413,358,381,85,248,141
326,407,358,375,215,104,117
325,402,357,370,210,252,133
325,397,357,365,235,188,144
324,392,356,360,247,210,244
324,386,356,354,164,96,121
324,381,356,349,232,3,39
324,376,356,344,120,138,15
324,371,356,339,167,226,27
324,366,356,334,111,71,251
324,360,356,328,155,64,33
325,355,357,323,138,211,213
325,350,357,318,212,51,138
326,345,358,313,223,30,218
326,339,358,307,229,55,19
327,334,359,302,120,212,119
328,329,360,297,105,128,31
329,324,361,292,33,221,153
330,319,362,287,67,220,14
331,314,363,282,116,184,86
332,309,364,277,102,134,228
333,303,365,271,198,17,71
334,298,366,266,96,220,107
336,293,368,261,61,152,122
337,288,369,256,229,238,208
339,283,371,251,180,189,229
340,278,372,246,16,85,1
342,273,374,241,211,129,93
344,268,376,236,57,136,73
346,264,378,232,17,21,17
348,259,380,227,104,31,112
350,254,382,222,229,90,30
352,249,384,217,145,223,88
354,244,386,212,10,36,19
357,240,389,208,188,116,170
359,235,391,203,178,145,160
362,231,394,199,223,168,223
364,226,396,194,119,36,17
367,221,399,189,182,78,171
370,217,402,185,166,135,182
372,213,404,181,128,124,126
375,208,407,176,238,99,29
378,204,410,172,61,174,214
381,200,413,168,247,54,193
384,195,416,163,148,102,130
388,191,420,159,126,166,189
391,187,423,155,76,22,210
394,183,426,151,99,197,45
398,179,430,147,27,230,223
401,175,433,143,254,220,9
405,171,437,139,138,254,130
408,168,440,136,222,17,251
412,164,444,132,235,143,110
416,160,448,128,86,183,3
419,157,451,125,95,235,139
423,153,455,121,120,126,78
427,150,459,118,242,250,130
431,146,463,114,253,116,108
435,143,467,111,54,49,212
439,140,471,108,185,135,211
443,136,475,104,130,140,54
448,133,480,101,149,36,13
452,130,484,98,174,155,56
456,127,488,95,103,160,141
461,124,493,92,32,43,0
465,122,497,90,106,124,40
469,119,501,87,170,4,30
474,116,506,84,242,248,7
479,114,511,82,125,219,61
483,111,515,79,212,207,160
488,109,520,77,0,96,230
492,106,524,74,173,96,161
497,104,529,72,62,145,250
502,102,534,70,216,72,174
507,100,539,68,91,251,21
512,98,544,66,63,206,21
516,96,548,64,135,204,188
521,94,553,62,36,111,89
526,92,558,60,122,149,37
531,91,563,59,230,163,41
536,89,568,57,144,237,199
541,88,573,56,174,118,66
546,86,578,54,145,63,81
551,85,583,53,232,225,202
557,84,589,52,236,45,131
562,83,594,51,159,232,169
567,82,599,50,99,188,208
572,81,604,49,153,21,235
577,80,609,48,13,134,30
582,79,614,47,96,207,62
587,78,619,46,225,181,96
593,78,625,46,63,64,195
598,77,630,45,12,174,158
603,77,635,45,190,249,97
608,76,640,44,66,223,205
614,76,646,44,117,23,143
619,76,651,44,47,135,90
624,76,656,44,80,185,131
629,76,661,44,201,52,172
634,76,666,44,13,204,173
640,76,672,44,241,23,231
645,77,677,45,130,156,80
650,77,682,45,19,216,36
655,78,687,46,94,158,254
661,78,693,46,131,252,57
666,79,698,47,101,177,16
671,80,703,48,190,107,206
676,81,708,49,96,81,251
681,82,713,50,183,105,25
686,83,718,51,187,162,18
691,84,723,52,30,250,126
697,85,729,53,5,13,35
702,86,734,54,227,118,143
707,88,739,56,126,17,228
712,89,744,57,73,68,151
717,91,749,59,121,93,167
722,92,754,60,239,158,72
727,94,759,62,52,111,6
732,96,764,64,223,155,51
736,98,768,66,132,13,219
741,100,773,68,112,139,144
746,102,778,70,173,94,19
751,104,783,72,116,12,188
756,106,788,74,9,243,189
760,109,792,77,239,130,61
765,111,797,79,66,193,253
769,114,801,82,90,191,28
774,116,806,84,152,109,186
779,119,811,87,66,24,114
783,122,815,90,163,33,115
787,124,819,92,166,210,78
792,127,824,95,102,225,178
796,130,828,98,61,193,74
800,133,832,101,70,1,95
805,136,837,104,111,77,74
809,140,841,108,61,238,219
813,143,845,111,101,122,144
817,146,849,114,124,68,252
821,150,853,118,46,219,8
825,153,857,121,84,190,164
829,157,861,125,43,242,138
832,160,864,128,64,147,233
836,164,868,132,228,123,112
840,168,872,136,79,14,192
843,171,875,139,33,90,100
847,175,879,143,225,5,215
850,179,882,147,73,63,124
854,183,886,151,185,51,55
857,187,889,155,248,151,77
860,191,892,159,246,228,48
864,195,896,163,0,181,221
867,200,899,168,30,9,152
870,204,902,172,154,131,1
873,208,905,176,175,241,222
876,213,908,181,28,90,61
878,217,910,185,142,156,76
881,221,913,189,203,202,199
884,226,916,194,89,13,180
886,231,918,199,253,41,28
889,235,921,203,232,122,217
891,240,923,208,206,47,63
894,244,926,212,13,155,198
896,249,928,217,130,7,252
898,254,930,222,127,84,44
900,259,932,227,159,146,191
902,264,934,232,39,90,36
904,268,936,236,216,86,70
906,273,938,241,1,204,126
908,278,940,246,137,222,184
909,283,941,251,170,45,140
911,288,943,256,244,151,206
912,293,944,261,251,225,54
914,298,946,266,8,115,3
915,303,947,271,120,242,63
916,309,948,277,98,110,211
917,314,949,282,210,115,97
918,319,950,287,236,188,188
919,324,951,292,241,130,201
920,329,952,297,115,216,99
921,334,953,302,188,248,133
922,339,954,307,109,52,82
922,345,954,313,28,95,84
923,350,955,318,87,208,135
923,355,955,323,132,197,30
924,360,956,328,159,88,85
924,366,956,334,146,220,50
924,371,956,339,171,229,50
